Junior Python разработчик (Django)|https://hh.ru/vacancy/69467314|60000|Знание <highlighttext>Python</highlighttext>3. Базовое владение HTML, CSS. В компании есть отдельные FrontEnd разработчики, но желательно уметь читать их код. МЕДРОКЕТ - платформа IT-решений для медицины. Мы разрабатываем и развиваем цифровые продукты для клиник, врачей и пациентов: сайт отзывов ПроДокторов...
Python разработчик [Цифровой водоканал]|https://hh.ru/vacancy/70424077|не указана|Язык программирования <highlighttext>Python</highlighttext> (понимание конструкций языка, опыт работы со стандартными средствами многопоточного и асинхронного программирования). Фреймворки для создания REST API...Разработка серверной части web приложений, RESTful API, интеграционных сервисов. Разработка интеграционных сервисов пакетной и потоковой обработки данных. Участие в проведении...
Python Backend Developer|https://hh.ru/vacancy/70494566|не указана|3+ years of experience in Software Engineering using <highlighttext>Python</highlighttext>. Experience in <highlighttext>Python</highlighttext>-related frameworks (Flask \ FastAPI preferable). Drive the architectural design, implementation plan, and best practices for different projects to help us deliver the best product. 
Программист Python|https://hh.ru/vacancy/70083465|не указана|Уверенное знание Web-технологий, стремление к расширению IT-кругозора. Уверенное знание <highlighttext>Python</highlighttext>, Django, ORM, REST Framework, Celery, UnitTest, Docker, OpenAPI. Backend: <highlighttext>Python</highlighttext> 3.8, Django. Базы данных: PostgreSQL, Redis, TimescaleDB, InfluxDB. Frontend: React/Vue. Контейнеризация: Docker, k8s. 
Python developer|https://hh.ru/vacancy/69893241|100000|Опыт разработки ПО на языке программирования <highlighttext>python</highlighttext>. Знания в области информационной безопасности, особенно в области контроля известных уязвимостей.Участвовать в работе по сбору информации из большого количества внешних источников данных, ее преобразовании и анализе. Классическая самописная ETL-система.
Junior разработчик нейросетевых алгоритмов / Reinforcement Learning|https://hh.ru/vacancy/69990175|60000|Теоретическая подготовка в области RL. Хорошая алгоритмическая подготовка. Продвинутый уровень <highlighttext>Python</highlighttext>. Практический опыт использования библиотек PyTorch / TensorFlow либо подобных. Исследования в области Reinforcement learning. Изучение SOTA алгоритмов и областей их применения, адаптация для собственных задач. Сравнение различных алгоритмов применительно...
Python developer|https://hh.ru/vacancy/69612209|4000|Опыт разработки на <highlighttext>Python</highlighttext> 3 не менее 3-х лет (критично). Есть навык структурно писать тесты и тестируемый код. Разработка ассистант систем для трейдеров (оповещения, веб-дашборды). Создание и мониторинг автоматизированных биржевых алгоритмов. Создание загрузчиков биржевых данных. 
Data Engineer (Middle/Senior)|https://hh.ru/vacancy/69464622|None|<highlighttext>Python</highlighttext> уровня senior. Sql на уровне сложных запросов. Опыт работы с luigi/airflow. Опыт работы с aws. Опыт работы с...Разрабатывать и поддерживать микросервисы. Разрабатывать и оптимизировать пайплайны. Разработка мониторинга и алертинга.
Python Developer|https://hh.ru/vacancy/67488072|не указана|Опыт разработки для Web. Уверенные знания языка программирования <highlighttext>Python</highlighttext>. Опыт работы с MySQL. Знание фреймворка FastAPI, либо других современных фреймворков...Разработка игрового портала и других веб-приложений, с которыми взаимодействует пользователь. Поддержка и развитие существующей инфраструктуры сервисов. Разработка высоконагруженных backend...
Python разработчик (личный кабинет пользователя)|https://hh.ru/vacancy/70178817|не указана|Обязательно хотим видеть: Практический опыт разработки\поддержки приложений типа "личный кабинет" (опишите примеры в отклике). Практический опыт построения API (SOAP...Короткий цикл собесов и принятия решения. Используем самые удобные и приятные тулы организации и автоматизации разработки.
Python-разработчик|https://hh.ru/vacancy/70477269|не указана|Уверенно знаешь <highlighttext>Python</highlighttext>, ООП, шаблоны проектирования. - Имеешь опыт использования реляционных СУБД (MySQL, Postgre SQL, SQL Server, Oracle). - Имеешь практический опыт...ISERV в поисках <highlighttext>Python</highlighttext> – разработчика. - Разработка серверной части проекта на языке <highlighttext>Python</highlighttext>. - Доработка, отладка и оптимизация существующих программ. - 
Программист Python (Senior)|https://hh.ru/vacancy/69869831|300000|Опыт работы <highlighttext>python</highlighttext> программистом 7+ лет. Отличное знание <highlighttext>Python</highlighttext>(>3.6), ООП, паттернов проектирования. Наличие реализованных проектов на <highlighttext>Python</highlighttext>. Backend разработка. Реализация бизнес-логики. Рефакторинг старого кода и проектирование нового. Написание тестов. Решение нестандартные задач и изучение новых технологий.
TechLead / Senior Python Developer|https://hh.ru/vacancy/70333950|не указана|Опыт разработки от 6 лет. Опыт использования <highlighttext>Python</highlighttext> от 3 года. Опыт применения в коммерческих проектах Django REST.Управлние бэклогом. Анализ и проектирование системы. Разработка мини фреймворков на <highlighttext>Python</highlighttext>. Реализация сложных задач. Управление технологическим стеком. Помощь в решении...
Программирующий математик|https://hh.ru/vacancy/54770574|не указана|Вычислительная или прикладная математика - Ваше профильное образование или соответствующий практический опыт. Вы хорошо знаете принципы физического (компонентного) моделирования и умеете...Расширяем команду математиков. Продуктовая разработка вычислительных программ с использованием разнообразного математического аппарата. Обеспечиваются все пожелания, связанные с обустройством эффективного рабочего...
Python разработчик|https://hh.ru/vacancy/55581349|не указана|Уверенное знание <highlighttext>python</highlighttext>3. Знание сетевых протоколов HTTP, WebSocket. Продвинутое знание Django (Django REST Framework). Знание SQL, опыт работы с...Разработкой API. Интеграцией сторонних сервисов. Участием в полном цикле разработки - проектирование, программирование, тестирование, поддержка. Контролированием качества кода.
Python Разработчик / Fastapi (удаленно)|https://hh.ru/vacancy/69369308|не указана|Опыт в <highlighttext>Python</highlighttext> от 5 лет. Fastapi. Будет плюсом: Опыт разработки баз данных конфигураций (CMDB).Проектирование сервисов со сложной бизнес логикой. Разработка сервисов хранения, обработки данных различной сложности. Разработка сервисов сбора данных с различных источников.
Python Developer + ML|https://hh.ru/vacancy/69337436|150000|Ищем <highlighttext>Python</highlighttext> разработчика, имеющего хороший опыт коммерческой разработки. Необходима хорошая математическая подготовка. Ожидаем навыки работы с PostgreSQL, включая опыт работы...Разработка и доработка существующей обвязки под исполнение нейронных сетей различных топологий на <highlighttext>Python</highlighttext>. Запуск и управление инференсом моделей под Intel...
Разработчик Python (Senior/Principal)|https://hh.ru/vacancy/69969177|200000|Опыт программирования на <highlighttext>Python</highlighttext> или других языках. Знание git или другой системы контроля версий. Опыт составления, отладки и оптимизации SQL...Развивать функционал основного приложения оператора связи, биллинга: решать интересные задачи, программируя бизнес-процессы предприятий. Работать с legacy: исправлять ошибки кода...
Программист Python|https://hh.ru/vacancy/70391903|не указана|Знание <highlighttext>Python</highlighttext> 3.8+, asyncio (async/await). Опыт работы с SQL (Oracle/PostgreSQL), ORM (SQLAlchemy). Знание Git. Разработкой новых и доработкой существующих программных продуктов на <highlighttext>Python</highlighttext>. Участием в анализе (разработке) требований к реализации новых решений. 
Data Analyst (Middle/Senior)|https://hh.ru/vacancy/69464620|None|Опыт работы в качестве дата аналитика от 2 лет. Высшее математическое образование. <highlighttext>Python</highlighttext> уровня middle разработчика. Опыт написания Etl. Работа с большими данными. Прогноз и оптимизация основных показателей. Создание и поддержание интерактивных дашбордов, автоматизированных отчетов.
АККРЕДИТОВАННАЯ КОМПАНИЯ Программист Python (прикладная математика)|https://hh.ru/vacancy/48411370|не указана|Знания и опыт разработки <highlighttext>Python</highlighttext> (2 или 3, знание отдельных версий и понимание различий приветствуется). Опыт работы с различными научными...Мы предоставляем услуги web-разработки, мобильной разработки, десктопной разработки, разработки в области data science, проектирования, тестирования и создания графического дизайна. - 
Python BackEnd Developer|https://hh.ru/vacancy/70534476|не указана|Опыт построения высоконагруженных сервисов и обеспечения их доступности и надёжности. Разрабатывать на <highlighttext>Python</highlighttext> от 3-х лет. Понимать и применять...Помогать в избавлении от legacy: окончательный уход от монолитной архитектуры в некоторых местах и переезд с <highlighttext>Python</highlighttext>2 на <highlighttext>Python</highlighttext>...
Python разработчик|https://hh.ru/vacancy/68041907|не указана|Уверенно владеете <highlighttext>Python</highlighttext> (версией 3.8). Имеете опыт работы в команде. Хорошо знаете алгоритмы. Желаете разбираться в продукте, а не...Разрабатывать голосовые сценарии для управления устройствами. Обрабатывать запросы на естественном языке. Уточнять в запросах нужные параметры (вести диалог с пользователем). 
Разработчик Python|https://hh.ru/vacancy/70080145|не указана|Уверенное владение <highlighttext>Python</highlighttext> (желательно Django или аналогичный фреймворк), знание слабых и сильных сторон. Коммерческий опыт разработки от 2-х лет. Разрабатывать, развивать и поддерживать новый функционал системы Odoo. Принимать участие в разработке архитектуры системы. Заниматься рефакторингом своего кода и кода...
Python Developer|https://hh.ru/vacancy/54936646|150000|Опыт коммерческой разработки на <highlighttext>Python</highlighttext>. Понимание микросервисной архитектуры. Умение работать с асинхронным кодом. Знание Linux, умение работать с Git, опыт...Поработать над моделью предсказания вероятности ДТП в сервисе для расчета цены ОСАГО. Улучшать и разрабатывать парсеры (миллионы запросов в день...
