animal_id,fk_type,animal_name,fk_breed,fk_colour_1,fk_colour_2,date_of_birth
A667951,1,Duncan,51,27,25,2004-11-25 00:00:00
A676084,1,Ginger,51,42,1,2013-06-04 00:00:00
A665425,1,Collins,51,27,1,2013-08-26 00:00:00
A685559,1,,51,42,1,2013-08-09 00:00:00
A678202,1,*Dolce,51,42,1,2014-04-05 00:00:00
A688967,1,,51,13,25,2014-05-27 00:00:00
A679723,1,,51,13,25,2014-03-25 00:00:00
A671938,1,Chloe,51,3,1,2012-02-01 00:00:00
A678385,1,,20,3,1,2014-04-20 00:00:00
A687458,1,*Baby Blue,51,23,1,2014-08-05 00:00:00
A693770,1,*Ellie,51,27,1,2014-09-11 00:00:00
A678867,1,*Bonnie,51,27,1,2012-05-13 00:00:00
A685652,1,,51,23,25,2013-08-10 00:00:00
A685062,1,,51,22,25,2014-06-04 00:00:00
A690811,1,,51,42,1,2014-08-26 00:00:00
A676948,1,,51,3,1,2013-08-17 00:00:00
A665896,1,*Willow,51,14,1,2013-09-30 00:00:00
A665256,1,Jerry,51,22,25,2012-10-15 00:00:00
A683328,1,Solo,11,23,25,2014-04-24 00:00:00
A668560,1,Powder,51,25,1,2013-08-05 00:00:00
A690327,1,Rusty,51,14,1,2000-10-18 00:00:00
A682828,1,,51,13,25,2013-07-03 00:00:00
A683418,1,Cindy,51,23,25,2005-07-10 00:00:00
A664265,1,*Dixon,51,42,1,2013-07-17 00:00:00
A687690,1,,51,27,1,2014-09-06 00:00:00
A666536,1,,51,27,1,2013-09-03 00:00:00
A683875,1,,51,23,1,2014-06-16 00:00:00
A667606,1,*Treasure,51,3,1,2013-10-10 00:00:00
A670007,1,,51,3,1,2011-12-31 00:00:00
A686996,1,,51,14,25,2014-08-08 00:00:00
A677306,1,,51,42,1,2014-03-01 00:00:00
A691704,1,*Zander,51,13,25,2014-09-01 00:00:00
A668743,1,*Suzanne,51,27,1,2011-12-08 00:00:00
A679315,1,,51,3,1,2014-04-07 00:00:00
A685106,1,*Larkspur,51,42,1,2014-07-06 00:00:00
A671528,1,,51,25,1,2011-01-26 00:00:00
A684965,1,*Ryan,51,3,1,2014-07-01 00:00:00
A665611,1,,51,42,1,2013-09-28 00:00:00
A679487,1,,51,27,25,2013-05-21 00:00:00
A665609,1,,51,42,1,2013-09-28 00:00:00
A648775,1,Daisy,51,3,1,2013-01-20 00:00:00
A685358,1,,51,6,25,2013-08-06 00:00:00
A687137,1,*Nigel,51,23,1,2014-08-06 00:00:00
A677278,1,*Biskit,51,13,25,2013-04-22 00:00:00
A666109,1,*Tom,51,22,25,2013-07-29 00:00:00
A685417,1,Willie,51,27,25,2010-08-07 00:00:00
A676705,1,,20,23,1,2014-04-08 00:00:00
